item,co2,unit,category,source
"chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",9.87,0.065,food,Existing Dataset
"chicken thigh, rotisserie, skin eaten",9.87,0.077,food,Existing Dataset
"chicken thigh, rotisserie, skin not eaten",9.87,0.084,food,Existing Dataset
"chicken thigh, stewed, skin eaten",9.87,0.048,food,Existing Dataset
"chicken thigh, stewed, skin not eaten",9.87,0.049,food,Existing Dataset
"chicken thigh, grilled without sauce, skin eaten",9.87,0.061,food,Existing Dataset
"chicken thigh, grilled without sauce, skin not eaten",9.87,0.065,food,Existing Dataset
"chicken thigh, grilled with sauce, skin eaten",9.87,0.063,food,Existing Dataset
"chicken thigh, grilled with sauce, skin not eaten",9.87,0.066,food,Existing Dataset
"chicken thigh, sauteed, skin eaten",9.87,0.061,food,Existing Dataset
"chicken thigh, sauteed, skin not eaten",9.87,0.065,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating eaten, from raw",9.87,0.063,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating not eaten, from raw",9.87,0.065,food,Existing Dataset
"chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",9.87,0.066,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",9.87,0.063,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",9.87,0.065,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating eaten, from fast food",9.87,0.08,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating not eaten, from fast food",9.87,0.082,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating eaten, from restaurant",9.87,0.08,food,Existing Dataset
"chicken thigh, fried, coated, skin / coating not eaten, from restaurant",9.87,0.082,food,Existing Dataset
"chicken thigh, baked, coated, skin / coating eaten",9.87,0.064,food,Existing Dataset
"chicken thigh, baked, coated, skin / coating not eaten",9.87,0.065,food,Existing Dataset
"chicken wing, ns as to cooking method",9.87,0.057,food,Existing Dataset
"chicken wing, baked, broiled, or roasted, from raw",9.87,0.041,food,Existing Dataset
"chicken wing, baked or broiled, from pre-cooked",9.87,0.057,food,Existing Dataset
"chicken wing, baked or broiled, from fast food / restaurant",9.87,0.04,food,Existing Dataset
"chicken wing, rotisserie",9.87,0.057,food,Existing Dataset
"chicken wing, stewed",9.87,0.046,food,Existing Dataset
"chicken wing, grilled without sauce",9.87,0.04,food,Existing Dataset
"chicken wing, grilled with sauce",9.87,0.045,food,Existing Dataset
"chicken wing, sauteed",9.87,0.04,food,Existing Dataset
"chicken wing, fried, coated, from raw",9.87,0.046,food,Existing Dataset
"chicken wing, fried, coated, from pre-cooked",9.87,0.047,food,Existing Dataset
"chicken wing, fried, coated, from fast food",9.87,0.077,food,Existing Dataset
"chicken wing, fried, coated, from restaurant",9.87,0.077,food,Existing Dataset
"chicken wing, baked, coated",9.87,0.045,food,Existing Dataset
"chicken ""wings"" with hot sauce, from fast food / restaurant",9.87,0.055,food,Existing Dataset
"chicken ""wings"" with other sauces or seasoning, from fast food / restaurant",9.87,0.066,food,Existing Dataset
"chicken ""wings"", plain, from fast food / restaurant",9.87,0.077,food,Existing Dataset
"chicken ""wings"" with hot sauce, from precooked",9.87,0.047,food,Existing Dataset
"chicken ""wings"" with other sauces or seasoning, from precooked",9.87,0.059,food,Existing Dataset
"chicken ""wings"", plain, from precooked",9.87,0.047,food,Existing Dataset
"chicken ""wings"" with hot sauce, from other sources",9.87,0.053,food,Existing Dataset
"chicken ""wings"" with other sauces or seasoning, from other sources",9.87,0.064,food,Existing Dataset
"chicken ""wings"", plain, from other sources",9.87,0.068,food,Existing Dataset
"chicken ""wings"", boneless, with hot sauce, from fast food / restaurant",9.87,0.056,food,Existing Dataset
"chicken ""wings"", boneless, with hot sauce, from other sources",9.87,0.081,food,Existing Dataset
"chicken, back",6.9,0.075,food,Existing Dataset
"chicken, neck or ribs",6.9,0.096,food,Existing Dataset
"chicken, tail",6.9,0.064,food,Existing Dataset
chicken skin,9.87,0.063,food,Existing Dataset
chicken feet,9.87,0.102,food,Existing Dataset
"chicken, canned, meat only",6.9,0.05,food,Existing Dataset
"chicken, chicken roll, roasted",6.9,0.064,food,Existing Dataset
"chicken patty, breaded",9.87,0.09,food,Existing Dataset
"chicken fillet, breaded",9.87,0.085,food,Existing Dataset
"chicken fillet, grilled",9.87,0.038,food,Existing Dataset
"chicken, ground",6.9,0.15,food,Existing Dataset
"chicken nuggets, nfs",9.87,0.051,food,Existing Dataset
"chicken nuggets, from fast food",9.87,0.051,food,Existing Dataset
"chicken nuggets, from restaurant",9.87,0.051,food,Existing Dataset
"chicken nuggets, from school lunch",9.87,0.074,food,Existing Dataset
"chicken nuggets, from frozen",9.87,0.111,food,Existing Dataset
"chicken nuggets, from other sources",9.87,0.069,food,Existing Dataset
"chicken tenders or strips, nfs",9.87,0.069,food,Existing Dataset
"chicken tenders or strips, breaded, from fast food",9.87,0.069,food,Existing Dataset
"chicken tenders or strips, breaded, from restaurant",9.87,0.068,food,Existing Dataset
"chicken tenders or strips, breaded, from school lunch",9.87,0.074,food,Existing Dataset
"chicken tenders or strips, breaded, from frozen",9.87,0.085,food,Existing Dataset
"chicken tenders or strips, breaded, from other sources",9.87,0.074,food,Existing Dataset
"fried chicken chunks, puerto rican style",9.87,0.102,food,Existing Dataset
"chicken, baby food, ns as to strained or junior",6.9,0.045,food,Existing Dataset
"chicken, baby food, strained",6.9,0.045,food,Existing Dataset
"chicken, baby food, junior",6.9,0.045,food,Existing Dataset
"chicken stick, baby food",9.87,0.045,food,Existing Dataset
"beef liver, braised",99.48,14.164,food,Existing Dataset
"beef liver, fried",99.48,14.466,food,Existing Dataset
"chicken liver, braised",9.87,0.492,food,Existing Dataset
"chicken liver, fried",9.87,0.57,food,Existing Dataset
"sweetbreads, cooked",1.57,0.071,food,Existing Dataset
beef sausage,99.48,0.075,food,Existing Dataset
"beef sausage, reduced fat",99.48,0.088,food,Existing Dataset
"beef sausage, reduced sodium",99.48,0.418,food,Existing Dataset
beef sausage with cheese,99.48,0.072,food,Existing Dataset
turkey or chicken and beef sausage,99.48,0.078,food,Existing Dataset
head cheese,23.88,0.122,food,Existing Dataset
pork sausage,12.31,0.071,food,Existing Dataset
"pork sausage, reduced fat",12.31,0.088,food,Existing Dataset
"pork sausage, reduced sodium",12.31,0.418,food,Existing Dataset
pork sausage rice links,12.31,0.088,food,Existing Dataset
pork and beef sausage,99.48,0.073,food,Existing Dataset
turkey or chicken sausage,9.87,0.082,food,Existing Dataset
"turkey or chicken sausage, reduced sodium",9.87,0.42,food,Existing Dataset
"turkey or chicken sausage, reduced fat",9.87,0.082,food,Existing Dataset
turkey or chicken and pork sausage,12.31,0.148,food,Existing Dataset
"turkey or chicken, pork, and beef sausage, reduced sodium",9.87,0.418,food,Existing Dataset
"chicken, prepackaged or deli, luncheon meat",6.9,0.02,food,Existing Dataset
"chicken, prepackaged or deli, luncheon meat, reduced sodium",6.9,0.02,food,Existing Dataset
"ham and pork, canned luncheon meat, chopped, minced, pressed, spiced",12.31,0.051,food,Existing Dataset
"beef, prepackaged or deli, luncheon meat",27.0,0.086,food,Existing Dataset
"beef, prepackaged or deli, luncheon meat, reduced sodium",27.0,0.086,food,Existing Dataset
chicken salad spread,9.87,0.03,food,Existing Dataset
"fish, ns as to type, raw",6.1,0.054,food,Existing Dataset
"fish, ns as to type, cooked, ns as to cooking method",6.1,0.067,food,Existing Dataset
"fish, ns as to type, baked or broiled, made with oil",6.1,0.067,food,Existing Dataset
"fish, ns as to type, baked or broiled, made with butter",6.1,0.067,food,Existing Dataset
"fish, ns as to type, baked or broiled, made with margarine",6.1,0.067,food,Existing Dataset
"fish, ns as to type, baked or broiled, no added fat",6.1,0.069,food,Existing Dataset
"fish, ns as to type, baked or broiled, made with cooking spray",6.1,0.068,food,Existing Dataset
"fish, ns as to type, coated, baked or broiled, made with oil",6.1,0.083,food,Existing Dataset
"fish, ns as to type, coated, baked or broiled, made with butter",6.1,0.083,food,Existing Dataset
"fish, ns as to type, coated, baked or broiled, made with margarine",6.1,0.083,food,Existing Dataset
"fish, ns as to type, coated, baked or broiled, no added fat",6.1,0.087,food,Existing Dataset
"fish, ns as to type, coated, baked or broiled, made with cooking spray",6.1,0.086,food,Existing Dataset
"fish, ns as to type, coated, fried, made with oil",6.1,0.088,food,Existing Dataset
"fish, ns as to type, coated, fried, made with butter",6.1,0.088,food,Existing Dataset
"fish, ns as to type, coated, fried, made with margarine",6.1,0.088,food,Existing Dataset
"fish, ns as to type, coated, fried, no added fat",6.1,0.104,food,Existing Dataset
"fish, ns as to type, coated, fried, made with cooking spray",6.1,0.104,food,Existing Dataset
"fish, ns as to type, steamed",6.1,0.079,food,Existing Dataset
"fish, ns as to type, dried",6.1,0.176,food,Existing Dataset
"fish, ns as to type, canned",6.1,0.048,food,Existing Dataset
"fish, ns as to type, smoked",6.1,0.23,food,Existing Dataset
"fish, ns as to type, from fast food",6.1,0.044,food,Existing Dataset
"fish stick, patty or nugget from fast food",13.63,0.059,food,Existing Dataset
"fish stick, patty or nugget from restaurant, home, or other place",13.63,0.059,food,Existing Dataset
"catfish, cooked, ns as to cooking method",13.63,0.069,food,Existing Dataset
"catfish, baked or broiled, made with oil",13.63,0.039,food,Existing Dataset
"catfish, baked or broiled, made with butter",13.63,0.039,food,Existing Dataset
"catfish, baked or broiled, made with margarine",13.63,0.039,food,Existing Dataset
"catfish, baked or broiled, no added fat",13.63,0.041,food,Existing Dataset
"catfish, baked or broiled, made with cooking spray",13.63,0.04,food,Existing Dataset
"catfish, coated, baked or broiled, made with oil",13.63,0.062,food,Existing Dataset
"catfish, coated, baked or broiled, made with butter",13.63,0.062,food,Existing Dataset
"catfish, coated, baked or broiled, made with margarine",13.63,0.062,food,Existing Dataset
"catfish, coated, baked or broiled, no added fat",13.63,0.065,food,Existing Dataset
"catfish, coated, baked or broiled, made with cooking spray",13.63,0.065,food,Existing Dataset
"catfish, coated, fried, made with oil",13.63,0.069,food,Existing Dataset
"catfish, coated, fried, made with butter",13.63,0.069,food,Existing Dataset
"catfish, coated, fried, made with margarine",13.63,0.069,food,Existing Dataset
"catfish, coated, fried, no added fat",13.63,0.082,food,Existing Dataset
"catfish, coated, fried, made with cooking spray",13.63,0.081,food,Existing Dataset
"catfish, steamed or poached",13.63,0.04,food,Existing Dataset
"swordfish, cooked, ns as to cooking method",13.63,0.048,food,Existing Dataset
"swordfish, baked or broiled, fat added",13.63,0.048,food,Existing Dataset
"swordfish, baked or broiled, no added fat",13.63,0.049,food,Existing Dataset
"swordfish, coated, baked or broiled, fat added",13.63,0.068,food,Existing Dataset
"swordfish, coated, baked or broiled, no added fat",13.63,0.072,food,Existing Dataset
"swordfish, coated, fried",13.63,0.075,food,Existing Dataset
"swordfish, steamed or poached",13.63,0.049,food,Existing Dataset
"crayfish, coated, fried",13.63,0.414,food,Existing Dataset
"crayfish, boiled or steamed",13.63,0.68,food,Existing Dataset
beef with tomato-based sauce,99.48,0.086,food,Existing Dataset
beef goulash,99.48,0.074,food,Existing Dataset
beef burgundy,99.48,0.136,food,Existing Dataset
"beef stew, no potatoes, tomato-based sauce, mexican style",99.48,0.088,food,Existing Dataset
"beef stew, no potatoes, tomato-based sauce, with chili peppers, mexican style",99.48,0.079,food,Existing Dataset
chili con carne with beans and cheese,23.88,0.093,food,Existing Dataset
"beef sloppy joe, no bun",99.48,0.095,food,Existing Dataset
beef with gravy,99.48,0.057,food,Existing Dataset
salisbury steak with gravy,3.5,0.083,food,Existing Dataset
beef with cream or white sauce,99.48,0.054,food,Existing Dataset
beef stroganoff,99.48,0.071,food,Existing Dataset
creamed chipped or dried beef,99.48,0.017,food,Existing Dataset
beef with mushroom sauce,99.48,0.056,food,Existing Dataset
beef with soy-based sauce,99.48,0.064,food,Existing Dataset
steak teriyaki,3.5,0.08,food,Existing Dataset
beef curry,99.48,0.095,food,Existing Dataset
beef curry with rice,99.48,0.085,food,Existing Dataset
beef with barbecue sauce,99.48,0.071,food,Existing Dataset
beef with sweet and sour sauce,99.48,0.074,food,Existing Dataset
"stewed seasoned ground beef, mexican style",99.48,0.061,food,Existing Dataset
steak tartare,3.5,0.08,food,Existing Dataset
"stewed seasoned ground beef, puerto rican style",99.48,0.095,food,Existing Dataset
"stewed dried beef, puerto rican style",99.48,0.084,food,Existing Dataset
"beef stew, meat with gravy, no potatoes, puerto rican style",99.48,0.093,food,Existing Dataset
ham or pork with gravy,12.31,0.047,food,Existing Dataset
ham or pork with barbecue sauce,12.31,0.065,food,Existing Dataset
sweet and sour pork,12.31,0.086,food,Existing Dataset
ham or pork with mushroom sauce,12.31,0.046,food,Existing Dataset
ham or pork with tomato-based sauce,12.31,0.075,food,Existing Dataset
"pork stew, no potatoes, tomato-based sauce, mexican style",12.31,0.077,food,Existing Dataset
pork or ham with soy-based sauce,12.31,0.057,food,Existing Dataset
pork with chili and tomatoes,12.31,0.061,food,Existing Dataset
"stewed pork, puerto rican style",12.31,0.119,food,Existing Dataset
lamb or mutton with gravy,39.72,0.089,food,Existing Dataset
lamb or mutton goulash,39.72,0.066,food,Existing Dataset
veal with butter sauce,3.15,0.064,food,Existing Dataset
chicken or turkey cacciatore,9.87,0.118,food,Existing Dataset
"stewed chicken with tomato-based sauce, mexican style",9.87,0.057,food,Existing Dataset
chili con carne with chicken or turkey and beans,9.87,0.12,food,Existing Dataset
chicken with gravy,9.87,0.05,food,Existing Dataset
chicken or turkey fricassee,9.87,0.039,food,Existing Dataset
chicken or turkey with cream sauce,9.87,0.048,food,Existing Dataset
chicken or turkey with mushroom sauce,9.87,0.049,food,Existing Dataset
chicken or turkey with teriyaki,9.87,0.07,food,Existing Dataset
"chicken, shredded or pulled, with barbecue sauce",6.9,0.066,food,Existing Dataset
sweet and sour chicken or turkey,9.87,0.039,food,Existing Dataset
"sweet and sour chicken or turkey, without vegetables",9.87,0.039,food,Existing Dataset
chicken curry,9.87,0.084,food,Existing Dataset
chicken curry with rice,9.87,0.078,food,Existing Dataset
chicken with mole sauce,9.87,0.074,food,Existing Dataset
chicken or turkey with cheese sauce,9.87,0.05,food,Existing Dataset
chicken or turkey cordon bleu,9.87,0.068,food,Existing Dataset
chicken or turkey parmigiana,9.87,0.078,food,Existing Dataset
orange chicken,9.87,0.042,food,Existing Dataset
sesame chicken,9.87,0.051,food,Existing Dataset
chicken kiev,9.87,0.058,food,Existing Dataset
"stuffed chicken, drumstick or breast, puerto rican style",9.87,0.077,food,Existing Dataset
"fish with cream or white sauce, not tuna or lobster",13.63,0.028,food,Existing Dataset
fish timbale or mousse,13.63,0.025,food,Existing Dataset
lobster with butter sauce,3.15,1.38,food,Existing Dataset
fish sauce,13.63,0.05,food,Existing Dataset
fish moochim,13.63,0.174,food,Existing Dataset
fish with tomato-based sauce,13.63,0.059,food,Existing Dataset
fish curry,13.63,0.095,food,Existing Dataset
fish curry with rice,4.45,0.085,food,Existing Dataset
scallops with cheese sauce,23.88,0.029,food,Existing Dataset
"stewed codfish, no potatoes, puerto rican style",13.63,0.072,food,Existing Dataset
"beef and potatoes, no sauce",99.48,0.138,food,Existing Dataset
"beef stew with potatoes, tomato-based sauce",99.48,0.088,food,Existing Dataset
"beef stew with potatoes, tomato-based sauce, mexican style",99.48,0.094,food,Existing Dataset
beef goulash with potatoes,99.48,0.091,food,Existing Dataset
"beef and potatoes with cream sauce, white sauce or mushroom sauce",99.48,0.066,food,Existing Dataset
"beef stew with potatoes, gravy",99.48,0.079,food,Existing Dataset
"beef, roast, hash",27.0,0.155,food,Existing Dataset
corned beef hash,99.48,0.0,food,Existing Dataset
beef and potatoes with cheese sauce,99.48,0.097,food,Existing Dataset
"beef and noodles, no sauce",99.48,0.09,food,Existing Dataset
beef and macaroni with cheese sauce,99.48,0.066,food,Existing Dataset
beef and noodles with tomato-based sauce,99.48,0.05,food,Existing Dataset
beef goulash with noodles,99.48,0.091,food,Existing Dataset
beef and noodles with gravy,99.48,0.071,food,Existing Dataset
beef and noodles with cream or white sauce,99.48,0.063,food,Existing Dataset
beef stroganoff with noodles,99.48,0.069,food,Existing Dataset
beef and noodles with mushroom sauce,99.48,0.066,food,Existing Dataset
beef and noodles with soy-based sauce,99.48,0.059,food,Existing Dataset
"beef and rice, no sauce",99.48,0.058,food,Existing Dataset
beef and rice with tomato-based sauce,99.48,0.082,food,Existing Dataset
chili con carne with beans and rice,4.45,0.09,food,Existing Dataset
beef and rice with gravy,99.48,0.053,food,Existing Dataset
beef and rice with cream sauce,99.48,0.047,food,Existing Dataset
beef and rice with mushroom sauce,99.48,0.049,food,Existing Dataset
beef and rice with soy-based sauce,99.48,0.066,food,Existing Dataset
beef and rice with cheese sauce,99.48,0.071,food,Existing Dataset
meat loaf made with beef,99.48,0.074,food,Existing Dataset
"meat loaf made with beef, with tomato-based sauce",99.48,0.083,food,Existing Dataset
beef wellington,99.48,0.14,food,Existing Dataset
corned beef patty,99.48,0.0,food,Existing Dataset
"beef stew with potatoes, puerto rican style",99.48,0.11,food,Existing Dataset
"stewed corned beef, puerto rican style",99.48,0.1,food,Existing Dataset
ham and rice with mushroom sauce,4.45,0.062,food,Existing Dataset
ham or pork with stuffing,12.31,0.049,food,Existing Dataset
pork and rice with tomato-based sauce,12.31,0.083,food,Existing Dataset
sausage and rice with tomato-based sauce,4.45,0.083,food,Existing Dataset
sausage and rice with mushroom sauce,4.45,0.052,food,Existing Dataset
sausage and rice with cheese sauce,23.88,0.047,food,Existing Dataset
"ham or pork and rice, no sauce",12.31,0.054,food,Existing Dataset
ham or pork and potatoes with gravy,12.31,0.099,food,Existing Dataset
ham or pork and potatoes with cheese sauce,12.31,0.095,food,Existing Dataset
"stuffed pork roast, puerto rican style",12.31,0.104,food,Existing Dataset
"pork stew, with potatoes, tomato-based sauce, mexican style",12.31,0.082,food,Existing Dataset
lamb or mutton loaf,39.72,0.075,food,Existing Dataset
lamb or mutton and potatoes with gravy,39.72,0.116,food,Existing Dataset
lamb or mutton and potatoes with tomato-based sauce,39.72,0.146,food,Existing Dataset
lamb or mutton and noodles with gravy,39.72,0.08,food,Existing Dataset
chicken or turkey hash,9.87,0.078,food,Existing Dataset
chicken or turkey and potatoes with gravy,9.87,0.065,food,Existing Dataset
"chicken or turkey and noodles, no sauce",9.87,0.074,food,Existing Dataset
chicken or turkey and noodles with gravy,9.87,0.069,food,Existing Dataset
chicken or turkey and noodles with mushroom sauce,9.87,0.064,food,Existing Dataset
chicken or turkey and noodles with cream or white sauce,9.87,0.062,food,Existing Dataset
chicken or turkey and noodles with cheese sauce,9.87,0.063,food,Existing Dataset
chicken or turkey tetrazzini,9.87,0.039,food,Existing Dataset
chicken or turkey and noodles with tomato-based sauce,9.87,0.1,food,Existing Dataset
chicken or turkey and noodles with soy-based sauce,9.87,0.058,food,Existing Dataset
"chicken or turkey and rice, no sauce",9.87,0.055,food,Existing Dataset
biryani with chicken,9.87,0.072,food,Existing Dataset
chicken or turkey and rice with cream sauce,9.87,0.068,food,Existing Dataset
chicken or turkey and rice with mushroom sauce,9.87,0.048,food,Existing Dataset
chicken or turkey and rice with tomato-based sauce,9.87,0.079,food,Existing Dataset
chicken or turkey and rice with soy-based sauce,9.87,0.064,food,Existing Dataset
chicken or turkey with dumplings,9.87,0.051,food,Existing Dataset
chicken or turkey with stuffing,9.87,0.082,food,Existing Dataset
"chicken or turkey cake, patty, or croquette",9.87,0.065,food,Existing Dataset
chicken or turkey souffle,9.87,0.041,food,Existing Dataset
meat loaf made with chicken or turkey,9.87,0.118,food,Existing Dataset
"meat loaf made with chicken or turkey, with tomato-based sauce",9.87,0.12,food,Existing Dataset
codfish ball or cake,13.63,0.036,food,Existing Dataset
"fish cake or patty, ns as to fish",13.63,0.035,food,Existing Dataset
gefilte fish,13.63,0.059,food,Existing Dataset
scallops and noodles with cheese sauce,23.88,0.061,food,Existing Dataset
shrimp and noodles with cheese sauce,23.88,0.089,food,Existing Dataset
"lobster with bread stuffing, baked",1.57,1.089,food,Existing Dataset
tuna and rice with mushroom sauce,4.45,0.045,food,Existing Dataset
fish and rice with tomato-based sauce,4.45,0.078,food,Existing Dataset
fish and rice with cream sauce,4.45,0.042,food,Existing Dataset
fish and rice with mushroom sauce,4.45,0.045,food,Existing Dataset
fish and noodles with mushroom sauce,13.63,0.06,food,Existing Dataset
shellfish and noodles with tomato-based sauce,13.63,0.117,food,Existing Dataset
meat loaf made with beef and pork,99.48,0.077,food,Existing Dataset
"meat loaf made with beef, veal and pork",99.48,0.077,food,Existing Dataset
"meat loaf made with beef and pork, with tomato-based sauce",99.48,0.086,food,Existing Dataset
"vienna sausages stewed with potatoes, puerto rican style",0.46,0.103,food,Existing Dataset
"breaded brains, puerto rican style",1.57,0.156,food,Existing Dataset
"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27.0,0.126,food,Existing Dataset
"beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",27.0,0.125,food,Existing Dataset
"corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",99.48,0.143,food,Existing Dataset
"corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",99.48,0.142,food,Existing Dataset
"beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",99.48,0.11,food,Existing Dataset
"beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",99.48,0.077,food,Existing Dataset
"beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",99.48,0.073,food,Existing Dataset
"beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",99.48,0.075,food,Existing Dataset
shepherd's pie with beef,99.48,0.146,food,Existing Dataset
"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27.0,0.097,food,Existing Dataset
"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27.0,0.097,food,Existing Dataset
"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",27.0,0.091,food,Existing Dataset
"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",27.0,0.09,food,Existing Dataset
"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27.0,0.121,food,Existing Dataset
"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27.0,0.121,food,Existing Dataset
"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",27.0,0.102,food,Existing Dataset
"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27.0,0.101,food,Existing Dataset
"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",27.0,0.07,food,Existing Dataset
"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",27.0,0.099,food,Existing Dataset
"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27.0,0.086,food,Existing Dataset
"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27.0,0.085,food,Existing Dataset
beef chow mein or chop suey with noodles,99.48,0.051,food,Existing Dataset
"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",27.0,0.054,food,Existing Dataset
"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",27.0,0.082,food,Existing Dataset
"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27.0,0.094,food,Existing Dataset
"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27.0,0.093,food,Existing Dataset
"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",27.0,0.065,food,Existing Dataset
"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",27.0,0.064,food,Existing Dataset
"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27.0,0.069,food,Existing Dataset
"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27.0,0.068,food,Existing Dataset
"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27.0,0.068,food,Existing Dataset
"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27.0,0.068,food,Existing Dataset
"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27.0,0.08,food,Existing Dataset
"beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27.0,0.08,food,Existing Dataset
stuffed cabbage rolls with beef and rice,99.48,0.07,food,Existing Dataset
stuffed grape leaves with beef and rice,99.48,0.187,food,Existing Dataset
"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",27.0,0.052,food,Existing Dataset
"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",27.0,0.052,food,Existing Dataset
"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",27.0,0.057,food,Existing Dataset
"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27.0,0.054,food,Existing Dataset
"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27.0,0.056,food,Existing Dataset
"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27.0,0.055,food,Existing Dataset
"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",27.0,0.058,food,Existing Dataset
"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",27.0,0.087,food,Existing Dataset
beef pot pie,99.48,0.073,food,Existing Dataset
"beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27.0,0.043,food,Existing Dataset
"beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27.0,0.042,food,Existing Dataset
"ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",12.31,0.083,food,Existing Dataset
"ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",12.31,0.084,food,Existing Dataset
"ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",12.31,0.068,food,Existing Dataset
"pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",12.1,0.123,food,Existing Dataset
"ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",12.31,0.092,food,Existing Dataset
"pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",12.1,0.121,food,Existing Dataset
"pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",12.1,0.119,food,Existing Dataset
"pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",12.1,0.095,food,Existing Dataset
"pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",12.1,0.095,food,Existing Dataset
"pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",12.1,0.122,food,Existing Dataset
pork chow mein or chop suey with noodles,12.31,0.051,food,Existing Dataset
"pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",12.1,0.054,food,Existing Dataset
"pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",12.1,0.083,food,Existing Dataset
"pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",12.1,0.079,food,Existing Dataset
"pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",12.1,0.078,food,Existing Dataset
